SampleID	Tissue	Genotype	Treatment	Replicate	paired	interleaved	r0	r1	r2
s41	leaf	unk		29	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171222_D00635_0316_BCBYM7ANXX/Springer_Project_057/PAC0017_S5_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171222_D00635_0316_BCBYM7ANXX/Springer_Project_057/PAC0017_S5_R2_001.fastq
s42	leaf	unk		30	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171222_D00635_0316_BCBYM7ANXX/Springer_Project_057/PAC0018_S6_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171222_D00635_0316_BCBYM7ANXX/Springer_Project_057/PAC0018_S6_R2_001.fastq
s43	leaf	unk		31	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171222_D00635_0316_BCBYM7ANXX/Springer_Project_057/PAC0019_S7_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171222_D00635_0316_BCBYM7ANXX/Springer_Project_057/PAC0019_S7_R2_001.fastq
s44	leaf	unk		32	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171222_D00635_0316_BCBYM7ANXX/Springer_Project_057/PAC0020_S8_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171222_D00635_0316_BCBYM7ANXX/Springer_Project_057/PAC0020_S8_R2_001.fastq
s45	leaf	unk		33	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171222_D00635_0316_BCBYM7ANXX/Springer_Project_057/PAC0021_S9_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171222_D00635_0316_BCBYM7ANXX/Springer_Project_057/PAC0021_S9_R2_001.fastq
s46	leaf	unk		34	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171222_D00635_0316_BCBYM7ANXX/Springer_Project_057/PAC0022_S10_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171222_D00635_0316_BCBYM7ANXX/Springer_Project_057/PAC0022_S10_R2_001.fastq
s47	leaf	unk		35	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171222_D00635_0316_BCBYM7ANXX/Springer_Project_057/PAC0023_S11_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171222_D00635_0316_BCBYM7ANXX/Springer_Project_057/PAC0023_S11_R2_001.fastq
s48	leaf	unk		36	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171222_D00635_0316_BCBYM7ANXX/Springer_Project_057/PAC0024_S12_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171222_D00635_0316_BCBYM7ANXX/Springer_Project_057/PAC0024_S12_R2_001.fastq
s49	leaf	unk		37	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/180914_D00635_0408_BCCG2KANXX/Springer_Project_062/PAC025_S1_R1_001.fastq.gz	/home/springer/data_release/umgc/hiseq/180914_D00635_0408_BCCG2KANXX/Springer_Project_062/PAC025_S1_R2_001.fastq.gz
s50	leaf	unk		38	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/180914_D00635_0408_BCCG2KANXX/Springer_Project_062/PAC026_S2_R1_001.fastq.gz	/home/springer/data_release/umgc/hiseq/180914_D00635_0408_BCCG2KANXX/Springer_Project_062/PAC026_S2_R2_001.fastq.gz
s51	leaf	unk		39	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/180914_D00635_0408_BCCG2KANXX/Springer_Project_062/PAC027_S3_R1_001.fastq.gz	/home/springer/data_release/umgc/hiseq/180914_D00635_0408_BCCG2KANXX/Springer_Project_062/PAC027_S3_R2_001.fastq.gz
s52	leaf	unk		40	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/180914_D00635_0408_BCCG2KANXX/Springer_Project_062/PAC028_S4_R1_001.fastq.gz	/home/springer/data_release/umgc/hiseq/180914_D00635_0408_BCCG2KANXX/Springer_Project_062/PAC028_S4_R2_001.fastq.gz
s53	leaf	unk		41	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/180914_D00635_0408_BCCG2KANXX/Springer_Project_062/PAC029_S5_R1_001.fastq.gz	/home/springer/data_release/umgc/hiseq/180914_D00635_0408_BCCG2KANXX/Springer_Project_062/PAC029_S5_R2_001.fastq.gz
s54	leaf	unk		42	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/180914_D00635_0408_BCCG2KANXX/Springer_Project_062/PAC030_S6_R1_001.fastq.gz	/home/springer/data_release/umgc/hiseq/180914_D00635_0408_BCCG2KANXX/Springer_Project_062/PAC030_S6_R2_001.fastq.gz
s55	leaf	unk		43	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/180914_D00635_0408_BCCG2KANXX/Springer_Project_062/PAC031_S7_R1_001.fastq.gz	/home/springer/data_release/umgc/hiseq/180914_D00635_0408_BCCG2KANXX/Springer_Project_062/PAC031_S7_R2_001.fastq.gz
