SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	interleaved	r0	r1	r2
s27	NA	NA		27	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index13_S28_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index13_S28_R2_001.fastq
s28	NA	NA		28	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index14_S29_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index14_S29_R2_001.fastq
s29	NA	NA		29	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index15_S30_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index15_S30_R2_001.fastq
s30	NA	NA		30	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index16_S31_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index16_S31_R2_001.fastq
s31	NA	NA		31	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index18_S32_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index18_S32_R2_001.fastq
s32	NA	NA		32	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index19_S33_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index19_S33_R2_001.fastq
s33	NA	NA		33	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index1_S24_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index1_S24_R2_001.fastq
s34	NA	NA		34	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index20_S34_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index20_S34_R2_001.fastq
s35	NA	NA		35	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index21_S35_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index21_S35_R2_001.fastq
s36	NA	NA		36	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index22_S36_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index22_S36_R2_001.fastq
s37	NA	NA		37	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index23_S37_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index23_S37_R2_001.fastq
s38	NA	NA		38	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index25_S38_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index25_S38_R2_001.fastq
s39	NA	NA		39	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index27_S39_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index27_S39_R2_001.fastq
s40	NA	NA		40	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index3_S40_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index3_S40_R2_001.fastq
s41	NA	NA		41	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index4_S41_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index4_S41_R2_001.fastq
s42	NA	NA		42	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index5_S42_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index5_S42_R2_001.fastq
s43	NA	NA		43	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index6_S43_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index6_S43_R2_001.fastq
s44	NA	NA		44	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index7_S44_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index7_S44_R2_001.fastq
s45	NA	NA		45	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index8_S45_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index8_S45_R2_001.fastq
s46	NA	NA		46	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index9_S46_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN32_BS_Index9_S46_R2_001.fastq
