SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	interleaved	r0	r1	r2
s35	seedling_leaf3	W22		5	m6	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/W22_ATGTCA_L006_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/W22_ATGTCA_L006_R2_001.fastq
s36	seedling_leaf3	W22		6	m6	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/W22_ATGTCA_L007_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/W22_ATGTCA_L007_R2_001.fastq
s37	seedling_leaf3	LH82		7	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141211_SN261_0582_AC62W0ACXX/Project_Springer_Project_028/LH82_CGATGT_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141211_SN261_0582_AC62W0ACXX/Project_Springer_Project_028/LH82_CGATGT_L005_R2_001.fastq
s38	seedling_leaf3	Mo17		7	m2	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141211_SN261_0582_AC62W0ACXX/Project_Springer_Project_028/MO17_TGACCA_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141211_SN261_0582_AC62W0ACXX/Project_Springer_Project_028/MO17_TGACCA_L005_R2_001.fastq
s39	seedling_leaf3	P39		7	m3	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141211_SN261_0582_AC62W0ACXX/Project_Springer_Project_028/P39_ACAGTG_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141211_SN261_0582_AC62W0ACXX/Project_Springer_Project_028/P39_ACAGTG_L005_R2_001.fastq
s40	seedling_leaf3	PH207		7	m4	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141211_SN261_0582_AC62W0ACXX/Project_Springer_Project_028/PH207_GCCAAT_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141211_SN261_0582_AC62W0ACXX/Project_Springer_Project_028/PH207_GCCAAT_L005_R2_001.fastq
s41	seedling_leaf3	PHZ51		7	m5	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141211_SN261_0582_AC62W0ACXX/Project_Springer_Project_028/PHZ51_AGTTCC_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141211_SN261_0582_AC62W0ACXX/Project_Springer_Project_028/PHZ51_AGTTCC_L005_R2_001.fastq
s42	seedling_leaf3	W22		7	m6	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141211_SN261_0582_AC62W0ACXX/Project_Springer_Project_028/W22_ATGTCA_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141211_SN261_0582_AC62W0ACXX/Project_Springer_Project_028/W22_ATGTCA_L005_R2_001.fastq
s43	seedling_leaf3	PH207		8	m4	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150204_SN261_0588_BC69T4ACXX/Project_Springer_Project_028/PH207_GCCAAT_L001_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150204_SN261_0588_BC69T4ACXX/Project_Springer_Project_028/PH207_GCCAAT_L001_R2_001.fastq
s44	seedling_leaf3	PH207		9	m4	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150204_SN261_0588_BC69T4ACXX/Project_Springer_Project_028/PH207_GCCAAT_L002_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150204_SN261_0588_BC69T4ACXX/Project_Springer_Project_028/PH207_GCCAAT_L002_R2_001.fastq
s45	seedling_leaf3	PH207		10	m4	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150204_SN261_0588_BC69T4ACXX/Project_Springer_Project_028/PH207_GCCAAT_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150204_SN261_0588_BC69T4ACXX/Project_Springer_Project_028/PH207_GCCAAT_L003_R2_001.fastq
s46	seedling_leaf3	PH207		11	m4	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150204_SN261_0588_BC69T4ACXX/Project_Springer_Project_028/PH207_GCCAAT_L004_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150204_SN261_0588_BC69T4ACXX/Project_Springer_Project_028/PH207_GCCAAT_L004_R2_001.fastq
s47	seedling_leaf3	PH207		12	m4	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150204_SN261_0588_BC69T4ACXX/Project_Springer_Project_028/PH207_GCCAAT_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150204_SN261_0588_BC69T4ACXX/Project_Springer_Project_028/PH207_GCCAAT_L005_R2_001.fastq
s48	seedling_leaf3	PH207		13	m4	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150204_SN261_0588_BC69T4ACXX/Project_Springer_Project_028/PH207_GCCAAT_L006_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150204_SN261_0588_BC69T4ACXX/Project_Springer_Project_028/PH207_GCCAAT_L006_R2_001.fastq
s49	seedling_leaf3	PH207		14	m4	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150204_SN261_0588_BC69T4ACXX/Project_Springer_Project_028/PH207_GCCAAT_L007_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150204_SN261_0588_BC69T4ACXX/Project_Springer_Project_028/PH207_GCCAAT_L007_R2_001.fastq
