SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	interleaved	r0	r1	r2
WC3	leaf	W22	cold	3	m10	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WC3_S231_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WC3_S231_R2_001.fastq.gz
WC4	leaf	W22	cold	4	m10	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WC4_S232_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WC4_S232_R2_001.fastq.gz
WC5	leaf	W22	cold	5	m10	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WC5_S233_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WC5_S233_R2_001.fastq.gz
WH1	leaf	W22	heat	1	m11	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WH1_S234_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WH1_S234_R2_001.fastq.gz
WH2	leaf	W22	heat	2	m11	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WH2_S235_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WH2_S235_R2_001.fastq.gz
WH3	leaf	W22	heat	3	m11	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WH3_S236_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WH3_S236_R2_001.fastq.gz
WH4	leaf	W22	heat	4	m11	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WH4_S237_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WH4_S237_R2_001.fastq.gz
WH5	leaf	W22	heat	5	m11	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WH5_S238_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WH5_S238_R2_001.fastq.gz
WN1	leaf	W22	control	1	m12	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WN1_S239_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WN1_S239_R2_001.fastq.gz
WN2	leaf	W22	control	2	m12	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WN2_S240_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WN2_S240_R2_001.fastq.gz
WN3	leaf	W22	control	3	m12	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WN3_S241_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WN3_S241_R2_001.fastq.gz
WN4	leaf	W22	control	4	m12	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WN4_S242_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WN4_S242_R2_001.fastq.gz
WN5	leaf	W22	control	5	m12	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WN5_S243_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/WN5_S243_R2_001.fastq.gz
