SampleID	Genotype	Tissue	Replicate	directory	file_prefix
s076	PH207	shoot	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	P-SC-R2_S10
s077	PH207	tassel	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	P-T-R1_S109
s078	PH207	tassel	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	P-T-R1_S33
s079	PH207	tassel	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	P-T-R2_S110
s080	PH207	tassel	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	P-T-R2_S34
s081	W22	anther	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	W-A-R1_S123
s082	W22	anther	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	W-A-R1_S47
s083	W22	anther	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	W-A-R2_S124
s084	W22	anther	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	W-A-R2_S48
s085	W22	ear	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	W-IE-R1_S117
s086	W22	ear	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	W-IE-R1_S41
s087	W22	ear	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	W-IE-R2_S118
s088	W22	ear	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	W-IE-R2_S42
s089	W22	embryo	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	W-Em-R1_S135
s090	W22	embryo	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	W-Em-R1_S59
s091	W22	embryo	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	W-Em-R2_S136
s092	W22	embryo	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	W-Em-R2_S60
s093	W22	endosperm	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	W-En-R1_S129
s094	W22	endosperm	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	W-En-R1_S53
s095	W22	endosperm	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	W-En-R2_S130
s096	W22	endosperm	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	W-En-R2_S54
s097	W22	internode	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	W-I-R1_S93
s098	W22	internode	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	W-I-R1_S17
s099	W22	internode	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	W-I-R2_S94
s100	W22	internode	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	W-I-R2_S18
s101	W22	leaf10	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	W-L10-R1_S99
s102	W22	leaf10	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	W-L10-R1_S23
s103	W22	leaf10	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	W-L10-R2_S100
s104	W22	leaf10	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	W-L10-R2_S24
s105	W22	leaf30	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	W-L-R1_S105
s106	W22	leaf30	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	W-L-R1_S29
s107	W22	leaf30	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	W-L-R2_S106
s108	W22	leaf30	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	W-L-R2_S30
s109	W22	root	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	W-R-R1_S81
s110	W22	root	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	W-R-R1_S5
s111	W22	root	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	W-R-R2_S82
s112	W22	root	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	W-R-R2_S6
s113	W22	shoot	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	W-SC-R1_S87
s114	W22	shoot	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	W-SC-R1_S11
s115	W22	shoot	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	W-SC-R2_S88
s116	W22	shoot	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	W-SC-R2_S12
s117	W22	tassel	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	W-T-R1_S111
s118	W22	tassel	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	W-T-R1_S35
s119	W22	tassel	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	W-T-R2_S112
s120	W22	tassel	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	W-T-R2_S36
